X	Y	Area	MinI	MaxI	MeanI
578 	314 	102.0 	111.0 	187.0 	151.884297521
351 	300 	25.5 	112.0 	184.0 	149.057142857
34 	299 	133.5 	112.0 	184.0 	150.311688312
631 	286 	21.0 	111.0 	166.0 	137.774193548
598 	283 	23.0 	111.0 	179.0 	140.363636364
577 	286 	166.0 	111.0 	184.0 	154.589473684
363 	280 	10.5 	114.0 	161.0 	133.0
633 	278 	17.0 	111.0 	167.0 	140.269230769
125 	270 	77.0 	112.0 	182.0 	153.574468085
385 	269 	44.5 	111.0 	184.0 	139.966101695
206 	262 	9.0 	111.0 	154.0 	125.2
386 	257 	5.5 	111.0 	134.0 	121.727272727
573 	259 	107.0 	111.0 	188.0 	154.598425197
33 	257 	96.5 	111.0 	184.0 	146.517241379
632 	252 	1.0 	112.0 	124.0 	116.75
205 	251 	16.0 	112.0 	162.0 	137.791666667
173 	249 	4.5 	116.0 	134.0 	124.888888889
45 	251 	7.5 	111.0 	136.0 	122.5625
420 	247 	29.0 	112.0 	181.0 	150.333333333
631 	240 	22.5 	113.0 	180.0 	142.757575758
121 	241 	83.5 	111.0 	184.0 	151.51
46 	231 	0.5 	111.0 	118.0 	114.0
384 	229 	1.5 	112.0 	125.0 	117.4
583 	226 	69.5 	112.0 	180.0 	149.929411765
208 	221 	11.0 	111.0 	155.0 	126.111111111
50 	216 	1.0 	111.0 	112.0 	109.4
177 	207 	6.5 	114.0 	149.0 	131.333333333
591 	191 	3.0 	113.0 	135.0 	122.0
